rank_de_de	rank_de_en	rank_fr_fr	rank_fr_en	rank_ru_ru	rank_ru_en
Min.   :0  	Min.   :0.000125  	Min.   :0  	Min.   :0.0002813  	Min.   :0  	Min.   :0.03131  
1st Qu.:0  	1st Qu.:0.590050  	1st Qu.:0  	1st Qu.:0.4062627  	1st Qu.:0  	1st Qu.:0.55199  
Median :0  	Median :0.790650  	Median :0  	Median :0.6584581  	Median :0  	Median :0.70868  
Mean   :0  	Mean   :0.711855  	Mean   :0  	Mean   :0.5785412  	Mean   :0  	Mean   :0.66272  
3rd Qu.:0  	3rd Qu.:0.916591  	3rd Qu.:0  	3rd Qu.:0.8239711  	3rd Qu.:0  	3rd Qu.:0.83942  
Max.   :0  	Max.   :0.998312  	Max.   :0  	Max.   :0.9994687  	Max.   :0  	Max.   :0.98991  
