entropy,energy,en,zh
12.355782,0.22528489,0.00015461164,9.148834e-05
12.660211,0.2609709,0.00040987937,3.7996593e-05
12.349413,0.25455645,0.00028908052,2.1510517e-05
12.19464,0.26668105,0.000707268,1.6324631e-05
12.429314,0.2551807,0.0006078295,1.9639672e-05
12.246329,0.25827613,0.0003353542,1.8239794e-05
12.24855,0.25159833,0.00033799975,2.4881072e-05
12.513393,0.2478205,0.00026605776,3.1825297e-05
12.624908,0.259686,0.00039817457,5.3450065e-05
12.716401,0.25257665,0.0003279683,9.450005e-05
12.620069,0.2610537,0.0004495106,0.000101739264
12.532402,0.26087436,0.00038498986,0.00021249292
12.517158,0.25232327,0.00038203984,0.0008750741
12.597164,0.2529419,0.00033279313,0.0040619825
12.486209,0.24597965,0.00233733,0.0061580637
12.226255,0.23858298,0.014971589,0.0077226465
11.024042,0.24565071,0.055447035,0.0384254
5.523109,0.254182,0.36186066,0.07853984
3.8980987,0.25775337,0.47188812,0.06450181
2.978037,0.24386774,0.55250525,0.06146659
1.3319656,0.25751457,0.6477156,0.053701114
1.1283524,0.2662473,0.65365875,0.054314736
0.9256435,0.2698356,0.68147403,0.067472845
0.98370117,0.26751372,0.66434467,0.091740295
1.0739654,0.2643355,0.6158709,0.12543935
1.3064187,0.26644886,0.5650384,0.16578692
1.5869992,0.2783612,0.49083072,0.238898
1.8879813,0.28173617,0.42521584,0.26133
2.193886,0.29661444,0.37021115,0.27695024
2.5075855,0.30619755,0.32540655,0.3176898
2.1307797,0.33956873,0.08923743,0.5028226
1.761911,0.33221832,0.0005287809,0.6364573
